Date,BNGA.JK,TLKM.JK,ADRO.JK,ANTM.JK
2024-11-22 00:00:00+07:00,1476.205322265625,2549.215576171875,1838.7177734375,1381.22802734375
2024-11-25 00:00:00+07:00,1497.1146240234375,2539.945556640625,1848.5242919921875,1414.5679931640625
2024-11-26 00:00:00+07:00,1480.3870849609375,2512.135986328125,1799.491943359375,1381.22802734375
2024-11-28 00:00:00+07:00,1476.205322265625,2521.406005859375,2148.349609375,1352.65087890625
2024-11-29 00:00:00+07:00,1467.8414306640625,2512.135986328125,1619.046142578125,1362.1766357421875
2024-12-02 00:00:00+07:00,1451.114013671875,2484.326416015625,1798.0750732421875,1343.1251220703125
2024-12-03 00:00:00+07:00,1459.4776611328125,2614.104736328125,1836.99462890625,1381.22802734375
2024-12-04 00:00:00+07:00,1472.0233154296875,2632.64453125,1836.99462890625,1395.5166015625
2024-12-05 00:00:00+07:00,1484.5689697265625,2567.75537109375,1821.4267578125,1419.330810546875
2024-12-06 00:00:00+07:00,1488.7509765625,2558.4853515625,1790.29150390625,1414.5679931640625
2024-12-09 00:00:00+07:00,1522.2060546875,2539.945556640625,2086.07861328125,1419.330810546875
2024-12-10 00:00:00+07:00,1505.4783935546875,2567.75537109375,2124.998046875,1547.927978515625
2024-12-11 00:00:00+07:00,1492.9327392578125,2651.18408203125,2031.591552734375,1524.1136474609375
2024-12-12 00:00:00+07:00,1492.9327392578125,2614.104736328125,1969.320556640625,1538.4022216796875
2024-12-13 00:00:00+07:00,1480.3870849609375,2586.294921875,2008.239990234375,1509.8250732421875
2024-12-16 00:00:00+07:00,1472.0233154296875,2465.78662109375,2023.8076171875,1486.0108642578125
2024-12-17 00:00:00+07:00,1455.2958984375,2428.707275390625,1953.7529296875,1438.3822021484375
2024-12-18 00:00:00+07:00,1451.114013671875,2382.35791015625,2016.023681640625,1443.1451416015625
2024-12-19 00:00:00+07:00,1396.7493896484375,2345.2783203125,1977.104248046875,1400.2794189453125
2024-12-20 00:00:00+07:00,1405.11328125,2363.818115234375,1984.88818359375,1352.65087890625
2024-12-23 00:00:00+07:00,1426.022705078125,2456.516845703125,1977.104248046875,1385.9908447265625
2024-12-24 00:00:00+07:00,1430.20458984375,2539.945556640625,1953.7529296875,1366.939453125
